customer_id,email,signup_date,city,acquisition_channel,device_type
C000001,ahmed.khan1@example.com,2024-01-01,Multan,Organic Search,Android
C000002,ali.akhtar2@example.com,2024-01-01,Lahore,Organic Search,Android
C000003,asad.hussain3@example.com,2024-01-01,Mardan,Referral,Android
C000004,faisal.shah4@example.com,2024-01-01,Karachi,Organic Search,Android
C000005,danish.iqbal5@example.com,2024-01-01,Peshawar,App Store,Android
C000006,haris.malik6@example.com,2024-01-01,Lahore,Paid Social,Desktop
C000007,ahmed.ahmed7@example.com,2024-01-01,Rawalpindi,Paid Social,Desktop
C000008,hira.raza8@example.com,2024-01-01,Karachi,Referral,iOS
C000009,ayesha.butt9@example.com,2024-01-01,Gujranwala,Organic Search,Desktop
C000010,asad.awan10@example.com,2024-01-01,Lahore,App Store,iOS
C000011,sana.akhtar11@example.com,2024-01-01,Rawalpindi,Paid Social,iOS
C000012,faisal.rana12@example.com,2024-01-01,Bahawalpur,Organic Search,iOS
C000013,mahnoor.baig13@example.com,2024-01-01,Karachi,Direct,iOS
C000014,sara.awan14@example.com,2024-01-01,Abbottabad,Paid Social,Android
C000015,sara.baig15@example.com,2024-01-01,Islamabad,Paid Social,Desktop
C000016,zain.chaudhry16@example.com,2024-01-01,Hyderabad,Direct,Desktop
C000017,sana.baig17@example.com,2024-01-01,Islamabad,Organic Search,Android
C000018,ahmed.ali18@example.com,2024-01-01,Gujranwala,Influencer,iOS
C000019,faisal.ali19@example.com,2024-01-01,Sialkot,Paid Social,Android
C000020,areeba.hussain20@example.com,2024-01-01,Lahore,App Store,Android
C000021,iqra.sheikh21@example.com,2024-01-01,Multan,Paid Social,Android
C000022,ibrahim.ali22@example.com,2024-01-01,Mardan,App Store,Android
C000023,haris.qureshi23@example.com,2024-01-01,Peshawar,Influencer,iOS
C000024,asad.rana24@example.com,2024-01-01,Abbottabad,Paid Social,Desktop
C000025,hira.shah25@example.com,2024-01-01,Peshawar,Paid Social,iOS
C000026,saad.iqbal26@example.com,2024-01-01,Lahore,app_store,Android
C000027,ali.iqbal27@example.com,2024-01-01,Gujranwala,Paid Social,iOS
C000028,ali.awan28@example.com,2024-01-01,Faisalabad,Organic Search,iOS
C000029,amna.abbasi29@example.com,2024-01-01,Karachi,Direct,Desktop
C000030,taimoor.raza30@example.com,2024-01-02,Karachi,Direct,iOS
C000031,areeba.mirza31@example.com,2024-01-02,Lahore,Direct,Android
C000032,ibrahim.akhtar32@example.com,2024-01-02,Peshawar,App Store,Android
C000033,ibrahim.baig33@example.com,2024-01-02,Hyderabad,Referral,Android
C000034,ibrahim.chaudhry34@example.com,2024-01-02,Gujranwala,App Store,Android
C000035,rabia.shah35@example.com,2024-01-02,Karachi,App Store,iOS
C000036,maryam.ali36@example.com,2024-01-02,Karachi,Referral,Android
C000037,ali.rana37@example.com,2024-01-02,Lahore,Referral,Android
C000038,ayesha.shah38@example.com,2024-01-02,Multan,Referral,Android
C000039,bilal.rana39@example.com,2024-01-02,Gujranwala,Direct,Android
C000040,ayesha.hussain40@example.com,2024-01-02,Sialkot,Organic Search,iOS
C000041,zain.raza41@example.com,2024-01-02,Karachi,Paid Social,Android
C000042,bilal.butt42@example.com,2024-01-02,Peshawar,Paid Social,Android
C000043,sara.butt43@example.com,2024-01-02,Faisalabad,App Store,Android
C000044,zainab.khan44@example.com,2024-01-02,Bahawalpur,Direct,Android
C000045,hira.malik45@example.com,2024-01-02,Peshawar,App Store,Android
C000046,hira.awan46@example.com,2024-01-02,Islamabad,Organic Search,iOS
C000047,zainab.siddiqui47@example.com,2024-01-02,hyderabad,Organic Search,Android
C000048,noor.awan48@example.com,2024-01-02,Lahore,Organic Search,iOS
C000049,hassan.raza49@example.com,2024-01-03,Hyderabad,Influencer,Desktop
C000050,usman.siddiqui50@example.com,2024-01-03,Hyderabad,Organic Search,iOS
C000051,hamza.raza51@example.com,2024-01-03,sialkot,Paid Social,Android
C000052,ali.javed52@example.com,2024-01-03,Lahore,Organic Search,Desktop
C000053,ibrahim.chaudhry53@example.com,2024-01-03,Gujranwala,Paid Social,Android
C000054,amna.hussain54@example.com,2024-01-03,Karachi ,Organic Search,Android
C000055,ayesha.malik55@example.com,2024-01-03,peshawar,App Store,iOS
